t,PTPAct_Obs,STAT5_Obs,npSTAT5_Obs,PTP_Obs,EpoRpJAK2_Obs
0,-0.000121222124919941,40.8821316405202,0.283119133000909,22.3040290522582,-0.010821517631704
5.5,NaN,NaN,NaN,19.6080911856962,NaN
9,NaN,NaN,10.0100284494646,NaN,0.113683860420694
10,0.000792120117561168,3.55892460991795,NaN,21.4529585197984,NaN
15,NaN,NaN,NaN,20.5468642174151,NaN
20,NaN,NaN,16.0019457467466,NaN,0.158600936284637
25,0.00141504509661893,4.56473187163202,NaN,20.5063105951063,NaN
30,NaN,NaN,14.9129566997214,21.3818834181445,0.140589783002699
35,0.00160896337018883,9.88946916386841,NaN,NaN,NaN
40,NaN,NaN,12.8195741915532,19.5978336805894,0.128626870632215
50,0.00184800237531317,12.4374079297915,11.5296190112979,21.2367597541802,NaN
55,NaN,NaN,NaN,NaN,0.123958214463498
60,NaN,NaN,NaN,21.8305270202491,NaN
65,0.00189555724086075,13.910651453716,8.40197072332815,NaN,NaN
70,NaN,NaN,NaN,NaN,0.13918345863763
75,NaN,NaN,NaN,19.823843749142,NaN
80,0.0018188712367772,19.8973265929246,NaN,NaN,NaN
85,NaN,NaN,8.93265279593032,NaN,0.131449412013761
90,NaN,NaN,NaN,19.5866144251827,NaN
95,0.00205554008278525,NaN,NaN,NaN,NaN
100,0.00196053383512522,19.0106736650367,10.0466356119282,NaN,NaN
150,0.00214809048856645,21.5380719016607,8.05276323201373,NaN,NaN
200,NaN,19.8900733226156,NaN,NaN,NaN
250,NaN,18.4577181024907,NaN,NaN,NaN
