t,STAT5_Obs,npSTAT5_Obs,SOCS3nRNA3_Obs
0,3.4161163246856,0.105538436425138,0.00053686902896909
10,NaN,1.2570768118606,NaN
15,0.499991038865367,NaN,0.00048365425798529
25,NaN,0.341102226016143,NaN
35,0.256880348658535,NaN,0.000406497163987498
40,NaN,0.340765929414724,NaN
55,0.723653473792603,0.358526185556546,0.000799139549412412
70,NaN,0.519542108716115,NaN
75,1.27480586165793,NaN,NaN
80,NaN,NaN,0.000523569378958133
95,NaN,0.463446627188478,NaN
100,0.953064337996881,0.457007641593725,0.000431641313778801
150,0.807598958537316,0.634889685157823,0.000333362506209475
200,1.9117995188616,NaN,NaN
250,1.64233091767815,NaN,NaN
300,1.35238013621065,NaN,NaN
