t,STAT5_Obs,npSTAT5_Obs,CISHRNA_Obs,SOCS3nRNA3_Obs
0,3.63120514486736,0.0427911963783645,1.16553895956794e-05,0.000420450693948366
10,NaN,1.0797639185517,NaN,NaN
15,NaN,NaN,NaN,0.000598940236514483
20,0.333040347440693,NaN,0.000224733881527683,NaN
25,NaN,0.583509324365048,NaN,NaN
30,NaN,NaN,NaN,0.000575962468479382
35,NaN,0.520269012726615,NaN,NaN
40,0.670966325249881,NaN,NaN,NaN
45,NaN,NaN,0.00132406342087597,NaN
50,NaN,0.391253921928108,NaN,0.000543068164377687
65,1.10975950481523,NaN,NaN,NaN
70,NaN,0.443785155402529,0.00236677385478319,0.000449819347245391
90,1.19527424222023,0.417580803192041,NaN,NaN
95,NaN,NaN,0.00234290922019199,0.000513518940313846
100,1.30210136586892,0.381023942650869,NaN,0.000627632031806979
150,1.31033659473775,0.379799137504706,0.00194181397484102,NaN
200,1.4254076995246,NaN,0.00177213618895006,NaN
250,1.56921905743338,NaN,0.00182183490449185,NaN
300,1.37697662331757,NaN,0.00186520203183225,NaN
350,1.51274665191127,NaN,0.00197504431709154,NaN
