t,pAC_Fsk_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.0946724373174789,-0.121172868893706,1.83073490694961,0.39552897125124
3.5,NaN,NaN,20.8544455586326,NaN
7,NaN,NaN,22.9706452722258,0.461290299218358
8,NaN,0.149191387350839,NaN,NaN
9,-0.0331182591266404,NaN,NaN,NaN
10,NaN,NaN,26.6636325079879,NaN
15,NaN,-0.0503039883968486,22.4711864615814,0.479458491740436
20,-0.134026492286716,NaN,18.8597504547655,NaN
25,NaN,0.0342993490440743,21.7645033528568,0.584445956617822
30,0.130284139699426,NaN,NaN,NaN
35,NaN,-0.0207442363827553,21.9445019419477,0.79850703678392
40,0.0296698407607627,NaN,NaN,NaN
45,NaN,NaN,NaN,0.874230095303431
50,NaN,0.114895119378573,NaN,NaN
55,0.0615636528666186,NaN,NaN,NaN
60,NaN,0.0236900527562073,NaN,0.577423814680786
70,0.0236063975605618,NaN,NaN,NaN
80,NaN,-0.00840737508415534,NaN,NaN
85,-0.0660011262368596,NaN,NaN,NaN
