t,RIIp_Rp8_pCPT_cAMPS_C_2_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,pAC_Fsk_Obs,AC_Fsk_Obs
0,0.0730264936158687,-0.018587534468728,0.079775636139224,0.0695247639397899
4,NaN,NaN,-0.160755195361372,NaN
7.5,NaN,-0.0826913590196138,NaN,NaN
8,NaN,NaN,0.00214808244759129,NaN
9,-0.0156145034702902,NaN,NaN,NaN
10,NaN,NaN,-0.0103364938541184,NaN
15,NaN,-0.0246075012316369,-0.0239214234709934,NaN
20,-0.211580138828043,NaN,NaN,NaN
25,NaN,-0.0244806998886557,0.149076817308285,-0.147222264298936
30,0.042043053684385,-0.0302572417179955,-0.00048428747264319,NaN
35,NaN,NaN,-0.0146367006291675,NaN
40,0.0729009362054009,0.0362756330186387,NaN,NaN
45,NaN,NaN,NaN,0.174009857713725
50,0.124766216679684,NaN,NaN,NaN
55,NaN,0.0504572187416345,NaN,NaN
65,-0.0154695011908185,0.144334056807965,NaN,NaN
70,NaN,NaN,NaN,-0.0744483516449715
80,-0.0838450657678344,-0.0421365229454395,NaN,NaN
95,NaN,NaN,NaN,-0.0428252948336152
100,-0.127808232764138,0.190095032427333,NaN,NaN
150,NaN,NaN,NaN,0.133736688381596
200,NaN,NaN,NaN,0.0415843085794615
250,NaN,NaN,NaN,-0.0289316601607737
300,NaN,NaN,NaN,0.0676073025638162
350,NaN,NaN,NaN,0.0360338503283784
450,NaN,NaN,NaN,-0.0176316159663908
