t,EarlyEffector_Obs,LateEffector_Obs
0,0.980533358502813,12.8101513212775
2.5,138.959652681461,NaN
3.5,NaN,255.840662183745
5.5,507.966104949491,NaN
7.5,NaN,1604.80803613838
8,2117.17844245736,NaN
10,5534.54570818727,5639.02762586422
15,2178.37861330124,12765.8480232278
20,151.128421259707,14058.7153253359
25,10.7021925617791,8495.91391296486
30,NaN,5757.99448240767
35,1.17499261670165,NaN
40,0.906717657651788,4548.3493111785
45,0.976301941503801,3136.20826499576
55,0.897466739335274,1741.33222240665
65,NaN,1491.07476611965
70,0.957149631569125,NaN
