t,epo_level,CISHnRNA3_Obs,CISHnRNA5_Obs
29,6.6667e-07,0.00016051799993834,0.000129620587874383
29,6.6667e-07,0.000247456059347787,0.000123985935742522
29,1.3333e-06,0.000164977682517336,0.00017281823435419
29,1.3333e-06,0.000223114347723315,0.000142690733076491
29,2.6667e-06,0.000173013780467447,0.000156894021142211
29,2.6667e-06,0.000278058475672666,0.000140441352796962
29,5.3333e-06,0.000178343737554767,0.000164076225606603
29,5.3333e-06,0.000348779563960653,0.000226951844342678
29,1.0667e-05,0.000219414427173305,0.000249256527369412
29,1.0667e-05,0.000331193112041351,0.000199090093082054
29,2.1333e-05,0.000120902461704093,0.0002960300942206
29,2.1333e-05,0.000358985617081162,0.000297999218049017
29,4.2667e-05,0.000159669828825535,0.000244751712179002
29,4.2667e-05,0.000267808671281317,0.00028655322552263
