t,epo_level,EpoRJAK2_Obs
50,2.5e-09,1.59781296137029
50,2.5e-09,1.85105949974043
50,2.5e-09,2.05328331811484
50,2.5e-08,1.34780126729227
50,2.5e-08,1.78921516009637
50,2.5e-08,2.21310391973824
50,1.25e-07,0.974575340864749
50,1.25e-07,1.38054970381953
50,1.25e-07,1.4366838917799
50,2.5e-07,1.22491268860683
50,2.5e-07,1.3665647115804
50,2.5e-07,2.13937281544061
50,1.25e-06,0.203643323388704
50,1.25e-06,0.588351259494138
50,1.25e-06,1.50161679464561
50,2.5e-06,0.390636483215927
50,2.5e-06,0.5271903484588
50,2.5e-06,0.58364002241294
