t,STAT5_Obs,nSTAT5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs
0,3.13222074319232,0.21368183351227,0.00170335702357391,0.00102467717245716
15,NaN,5.89037488791475,NaN,NaN
20,0.512239293833455,NaN,NaN,NaN
25,NaN,NaN,0.00125843634392723,0.00102702842916701
35,NaN,8.98003749630057,NaN,NaN
40,1.28310640900688,NaN,NaN,NaN
50,NaN,5.16779586908996,0.00173544899749381,NaN
55,NaN,NaN,NaN,0.000996453459078817
60,1.01109298108177,NaN,NaN,NaN
70,NaN,6.51346016194166,NaN,NaN
80,NaN,NaN,0.0013302854261271,NaN
85,1.59616180765277,NaN,NaN,NaN
90,NaN,NaN,NaN,0.00157077093040541
95,NaN,4.74116019933894,NaN,NaN
100,1.29344739319231,7.32604024620782,0.00203020534612294,0.00187699833031631
150,1.68103521153833,7.19584583523774,0.000479827442303297,0.000927399717635125
200,1.37906345789818,8.44342627655455,0.00107155532210138,0.000757378739089706
250,NaN,NaN,0.00169766690224859,NaN
300,NaN,NaN,0.000979061597669447,NaN
350,NaN,NaN,0.00123119931489163,NaN
