t,EpoRJAK2_Obs,pEpoRpJAK2_Obs,PTP_Obs,nSTAT5_Obs
0,1.36265027734066,-0.0657290717060021,40.5755644956107,-1.2558405267794
6.5,NaN,NaN,31.6075872416232,NaN
10,1.58523957611443,0.688132759097,NaN,10.0949728297695
15,NaN,NaN,59.1025085822068,NaN
20,NaN,0.543471187106043,59.1695126995455,NaN
25,1.56416556776172,NaN,38.6308905667084,11.4112047340679
30,NaN,0.393961683000647,NaN,NaN
35,NaN,NaN,59.9322860562984,13.7349096322594
40,1.14663952814777,NaN,NaN,NaN
45,NaN,0.335778489987081,43.5927004951315,NaN
50,NaN,NaN,NaN,11.8926801796174
55,1.42113694133286,NaN,58.2459277683194,NaN
60,NaN,0.227973286964307,NaN,NaN
70,NaN,NaN,61.6773210496403,13.6310454830456
75,2.15795839335631,0.493273247168842,NaN,NaN
85,NaN,NaN,47.6198135369011,NaN
90,NaN,0.30646952435208,NaN,13.4470646728947
95,0.596864894097367,NaN,NaN,NaN
100,0.977375267517605,0.226703716492237,43.6152679333834,10.8728303790629
150,1.31343512507178,0.492860835350488,NaN,10.1894021825479
200,1.21911473323943,NaN,NaN,NaN
