t,EpoRJAK2_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA2_Obs,SOCS3_Obs
0,1.39415457094126,-0.00771158042177393,-1.0018970874395,-0.00551889203433637,6.63764788154246
8.5,1.03021182704163,NaN,NaN,0.00803949411540006,NaN
9,NaN,0.55735990271452,NaN,NaN,NaN
9.5,NaN,NaN,13.0676548116259,NaN,NaN
15,1.84390334985738,NaN,NaN,0.100155351310038,-0.478409479034969
20,NaN,0.316419810008423,22.6694831456754,NaN,NaN
25,1.36535051168918,NaN,NaN,0.205968693286858,1.16431025077669
30,NaN,0.253021873479286,19.8920914243197,NaN,NaN
35,1.47707578966137,NaN,NaN,NaN,NaN
40,NaN,0.114695221778208,21.1928909101913,0.175525422753565,7.94248208323699
50,1.6468063523099,0.0574736754731632,NaN,0.159589881874775,NaN
55,NaN,NaN,14.2155919886459,NaN,13.1686997893862
60,1.84189148639333,NaN,NaN,NaN,NaN
65,NaN,0.156567402239405,NaN,0.181752773244185,NaN
70,NaN,NaN,14.196252394964,NaN,19.7086894550485
75,1.32388689840821,NaN,NaN,NaN,NaN
80,NaN,0.0596391243181206,NaN,0.064978690321261,NaN
85,NaN,NaN,6.59920033479364,NaN,NaN
90,NaN,NaN,NaN,NaN,13.4958522493372
95,1.62039375715902,NaN,NaN,NaN,NaN
100,0.925060720369868,0.281268689557854,2.5982829857223,0.0721495092906445,13.7165177335554
150,1.38160075097945,0.13271535746527,11.9606977565251,NaN,7.50569951766847
200,NaN,NaN,NaN,NaN,7.7476188575295
250,NaN,NaN,NaN,NaN,13.9496719648375
300,NaN,NaN,NaN,NaN,6.4491530915195
