t,EpoRJAK2_Obs,pEpoRpJAK2_Obs,PTP_Obs,PTPAct_Obs,STAT5_Obs,pSTAT5_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3_Obs,Compound_1_Obs
0,1.58803939582438,-0.0628060171234882,33.9054872727948,0.00242666428553698,60.4307176038495,-0.096267981722326,0.328902547526864,-0.0104301897619048,-0.00277809755536621,0.0336196002425931,0.0117149055254424,-0.00668303913064054,-0.00509779505617562,1.30002409316292,0.123425408789916
7,NaN,NaN,50.6183101014716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,19.8549777493898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1.88724459479937,0.438058891812992,42.7120427618825,NaN,NaN,20.5366098722941,NaN,18.169519062982,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,45.0541701322797,0.000738870550861894,-0.635243048749878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.214948142057465
25,1.35102291213763,NaN,NaN,NaN,NaN,NaN,13.2605440219933,NaN,NaN,NaN,NaN,NaN,NaN,0.352230454646794,NaN
30,NaN,0.369889573043306,69.8127435956882,NaN,3.01126163606898,14.5722941216892,NaN,NaN,NaN,NaN,0.127504111009202,NaN,0.154578642122289,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.0668328490553,0.125179142704048,NaN,NaN,NaN,NaN,NaN,NaN
40,1.20227338611104,NaN,33.6051477168775,NaN,NaN,NaN,NaN,NaN,NaN,0.169452519586171,NaN,0.17929076421998,NaN,NaN,NaN
45,NaN,NaN,NaN,0.00446111280529193,27.8601655897397,9.98387132785556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.193726601667754
50,NaN,0.209518883671283,50.7635227768037,NaN,NaN,NaN,NaN,12.8421462321362,NaN,NaN,NaN,NaN,NaN,14.1731971966782,NaN
55,1.16755888628105,NaN,NaN,NaN,49.8181848124263,NaN,9.24453330453897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,16.6573543310385,NaN,NaN,6.93125210513226,NaN,NaN,NaN,NaN,NaN,NaN,0.158895991289349,NaN,NaN
65,NaN,0.255363333966776,NaN,0.00478109928144686,NaN,NaN,NaN,NaN,NaN,NaN,0.158790274302154,NaN,NaN,NaN,NaN
70,NaN,NaN,29.7030501020813,NaN,24.7277453151607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0979767850800606
75,1.65820433696357,NaN,NaN,NaN,NaN,NaN,NaN,8.32668142067419,0.0412738595557081,NaN,NaN,0.0876992172413949,NaN,18.4098914316654,NaN
