t,EpoRJAK2_Obs,EpoRpJAK2_Obs,PTP_Obs,PTPAct_Obs,STAT5_Obs,pSTAT5_Obs,nSTAT5_Obs
0,2.47779438391088,0.0412300917349996,51.1338962556098,-0.00111797253787764,59.0054374291179,-1.09095921287714,-2.82365901645399
4.5,NaN,NaN,28.456084607262,NaN,NaN,NaN,NaN
8.5,NaN,0.0531521727933349,NaN,NaN,NaN,29.6105730041613,NaN
9.5,NaN,NaN,12.5289999017329,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,NaN,3.20375880195117
15,1.17144800010364,NaN,81.3714481333746,NaN,-0.583971506863187,15.8638482820726,NaN
20,NaN,0.0642264838214237,61.0292805066113,0.00214617006202348,NaN,NaN,13.7116982742763
25,NaN,NaN,49.9620724797962,NaN,NaN,19.1649591536254,NaN
30,1.6942425514924,0.0414357662610232,NaN,NaN,9.04069265894684,NaN,7.09739094997371
35,NaN,NaN,37.0338365076728,NaN,NaN,20.5217622308811,NaN
40,NaN,0.056386597086464,46.4606101597419,0.00538173627297199,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,27.6769383642915,NaN,14.3124993779698
50,1.06575912223008,0.0422875614296851,16.7377831857371,NaN,NaN,18.6970470006309,NaN
60,NaN,NaN,39.2482867156957,NaN,NaN,8.83099675886943,7.37708666934713
65,NaN,0.0548116922506616,NaN,0.00537580639508949,11.705933986388,NaN,NaN
70,0.761434083290568,NaN,32.0411033878196,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,10.7017990196275
80,NaN,NaN,NaN,NaN,NaN,22.8115367922678,NaN
85,NaN,0.0309922297258804,52.1638652714842,NaN,29.4266054049816,NaN,NaN
90,1.10873308688332,NaN,NaN,0.00649418233488251,NaN,NaN,9.15280174356636
100,2.01543418904618,NaN,NaN,0.00675372307994036,30.2845284088803,8.48164529905328,11.6990816856542
150,1.25650425874821,NaN,NaN,0.00624418360205704,16.3340460223053,NaN,11.0834943436697
200,1.26271070360784,NaN,NaN,0.00768981717235138,26.627855206739,NaN,NaN
250,2.05470555768556,NaN,NaN,0.00975156892425106,NaN,NaN,NaN
300,NaN,NaN,NaN,0.00568542508962401,NaN,NaN,NaN
