t,EpoRJAK2_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3_Obs
0,0.923195261358061,0.249319328040566,-0.107285619224759,0.00113724069214876,0.00108000188090421,0.000382770543411415,0.503679430059823
10,NaN,NaN,NaN,NaN,NaN,NaN,0.538454714304923
15,-0.0195850723617343,0.864977567801012,0.679575183755782,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,0.00324647026231778,0.00235620098289956,0.00117863842566056,NaN
25,-0.0158667611847557,NaN,NaN,NaN,NaN,NaN,0.795926682020555
30,NaN,0.612878378691762,0.710802440420381,NaN,NaN,NaN,NaN
40,0.0680287589195862,NaN,NaN,0.00321794561351132,0.00167272596424276,0.00251847478131884,0.688607912028395
45,NaN,0.635472382764267,0.641045802681308,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,0.67960312174235
55,0.0819065107770706,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,0.420831692518411,0.704408864095373,NaN,0.00317719184857708,0.00230152854765531,NaN
65,NaN,NaN,NaN,0.00197326499591983,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,0.637626123750984
75,0.149638460912396,NaN,0.610534604745768,NaN,NaN,NaN,NaN
80,NaN,0.358916648571227,NaN,NaN,0.00209894405817591,0.00212790320887903,NaN
90,0.143440712891472,NaN,NaN,0.00248508857834788,NaN,NaN,0.661081087074773
95,NaN,NaN,0.556268085530677,NaN,NaN,NaN,NaN
100,0.189012959904125,0.426823324227686,0.532609525607288,0.00193397743196805,0.00127930371383765,0.00218869709234952,0.436005913585771
150,0.2005254349022,0.479245330359836,0.529446855614541,0.000858190150926376,0.00250674176796309,0.0017425894114441,NaN
200,0.198508782532374,0.651454885909239,0.202794667431827,0.00156409761317796,0.00181404263886143,0.00231345145000167,NaN
250,0.233758093419795,0.667923955933177,NaN,0.0020630710608471,0.00246093467449719,0.00184595407135622,NaN
300,NaN,NaN,NaN,0.00133362418669072,NaN,NaN,NaN
