t,pEpoRpJAK2_Obs,npSTAT5_Obs,SOCS3_Obs
0,0.0521135906542338,0.040884192176112,0.278092934644175
9,NaN,0.99294965615683,NaN
15,0.952251777232001,NaN,0.838679592100826
20,NaN,0.744908093341068,NaN
25,NaN,NaN,0.273973538739619
30,0.738118044930773,0.926929208151413,NaN
40,NaN,0.475095079700161,0.761643569147591
45,0.320233011825553,NaN,NaN
55,NaN,0.687863032553265,0.478080311919618
65,0.90809680782101,NaN,NaN
70,NaN,0.57716198517591,0.721376906411639
85,0.660806373523705,0.565934635481315,NaN
90,NaN,NaN,0.743565456602961
100,0.527180509045532,0.513127996800734,0.736794485274614
150,0.988956922725304,0.017593159812905,0.800152879294159
200,0.458819787686094,NaN,0.509131362474531
250,0.577266109393442,NaN,NaN
300,0.547843811237995,NaN,NaN
