t,nSTAT5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs
0,-0.0805432709497035,0.000905668469897194,0.00156937307544096
20,0.719802308432985,NaN,NaN
40,0.533129356074333,NaN,0.00152419040147631
50,NaN,0.00125792991131883,NaN
65,0.475103811125851,NaN,NaN
85,0.315816243692761,NaN,0.000890260331472658
100,0.247643945406263,0.00141211662379916,NaN
150,0.300013926726093,0.0014619963788018,0.00110024770058082
200,0.23393689895627,0.000950724159442463,0.00171044294332862
250,0.159992509469432,NaN,0.00136760166694282
300,0.243509176632713,0.00121192275816818,0.00134401639127138
350,NaN,0.000894458074681208,NaN
400,0.445527707108346,NaN,0.00127276879478879
450,NaN,0.00103546110172763,NaN
500,NaN,NaN,0.00094293089011462
550,NaN,0.000932156678290217,NaN
