t,epo_level,CISHnRNA3_Obs,CISHnRNA5_Obs
73,2.5e-09,0.174273818915911,0.12848055748144
73,2.5e-09,0.076243656362364,0.11908568085157
73,2.5e-09,0.145867373709904,0.114910551288049
73,2.5e-08,0.169290856158615,0.180442910851889
73,2.5e-08,0.179352350886857,0.198462294217826
73,2.5e-08,0.243263744126479,0.171070839393174
73,1.25e-07,0.123346321507958,0.216202415355306
73,1.25e-07,0.135680348955576,0.170788973915158
73,1.25e-07,0.114007984924014,0.196221085410573
73,2.5e-07,0.0341713367770486,0.0333913957811327
73,2.5e-07,0.0670680418078979,0.0826124159566441
73,2.5e-07,0.069628913698025,0.0484598391778775
73,2.5e-06,0.066594225488597,0.0544586434543162
73,2.5e-06,0.0509564330481938,0.0201782314905025
73,2.5e-06,0.0190056794312552,0.0140365385887837
