t,epo_level,CISHnRNA2_Obs
17,2.5e-09,-0.0113700449330477
17,2.5e-09,0.0270290829764689
17,2.5e-09,0.0410583839591453
17,7.905e-09,-0.0012411982421889
17,1.25e-08,0.0228370612398355
17,1.75e-08,-0.0145900098921341
17,1.75e-08,0.0160001221539738
17,1.75e-08,0.04836268353811
17,2.5e-08,0.080648276005105
17,3.95e-08,0.0164824951474145
17,7.9e-08,0.100316444283714
17,7.9e-08,0.102521090894528
17,7.9e-08,0.118333608539245
17,1.25e-07,0.0902047667610263
17,1.25e-07,0.10056825664168
17,1.25e-07,0.106791942388422
17,1.7675e-07,0.117414210106982
17,1.7675e-07,0.137458616081825
17,1.7675e-07,0.162655687851149
17,2.5e-07,0.111175416604133
17,2.5e-07,0.115150286367623
17,2.5e-07,0.168990436479779
17,7.905e-07,0.119168587053438
17,2.5e-06,0.160238439697254
17,2.5e-06,0.195213070863422
17,2.5e-06,0.222469886111194
