t,STAT5_Obs,nSTAT5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs
0,3.64546665703089,1.55330529452931,0.00132539933544691,0.000944199853739169
20,1.08251814953981,5.34681304742509,NaN,NaN
25,NaN,NaN,0.000935678672503338,0.00160678372372887
40,0.663726235736996,6.72818388488597,NaN,NaN
50,NaN,NaN,0.00112579072225467,0.00168655920299112
65,1.48161467758065,7.29681909456762,NaN,NaN
75,NaN,NaN,NaN,0.000982000436147277
80,NaN,NaN,0.000990827607781752,NaN
85,NaN,2.67110645931788,NaN,NaN
90,1.02959323519199,NaN,NaN,NaN
100,1.67945077444247,4.51766288669557,0.00135805006242326,0.000961509692592085
150,0.706441615118957,3.04124562539814,0.00111735360959263,0.00106197610609124
200,0.929484894887948,2.98548623088535,0.000834770491682357,0.00126925830605939
250,NaN,5.12793759562587,NaN,NaN
300,NaN,4.75256969236229,NaN,NaN
350,NaN,4.2593614569611,NaN,NaN
450,NaN,7.28274720528405,NaN,NaN
