t,CISHnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,Compound_1_Obs
0,0.26783430425141,-0.275228574693984,0.440947327485117,0.0971988042633325
3.5,NaN,-0.245072354425036,NaN,NaN
4,-0.147491875187397,NaN,0.326772002525457,-0.19922441724155
7,NaN,0.233799197595188,NaN,NaN
8,-0.537305483269827,NaN,NaN,NaN
8.5,NaN,NaN,0.116634163207956,-0.0652440937779424
10,-0.101383093595354,0.0593241634177209,NaN,NaN
15,0.0226870704448737,0.636189864255701,-0.226021418180723,0.00530195352191392
20,-0.0384863375510873,0.22552938629841,0.213094066528321,0.418797268965517
25,-0.0694292913651272,0.322726367729259,-0.688370300071006,0.0348358132908404
30,NaN,NaN,0.15066118382009,0.18428874586645
35,-0.223359067512428,NaN,NaN,NaN
40,0.265339886793261,NaN,NaN,NaN
50,0.244753639092513,NaN,NaN,NaN
65,-0.422574242181482,NaN,NaN,NaN
