t,EpoRJAK2_Obs,pEpoRpJAK2_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3_Obs
0,0.911461313798153,0.0237418471907888,-1.69294680769855,0.0991734509438253,-0.000269439296828766,0.0016155668719226,0.00154585919434662,0.532094260758359
15,0.0602721271030281,0.86983714506397,7.07570812968401,0.608681492729546,0.00321440797037538,0.00110690309111868,0.00171560601234473,0.349679964895088
30,0.0609107263611451,0.658946476863989,6.83775939651661,0.381255885421291,NaN,0.00150816787680334,0.00191176154368127,0.536087397698941
35,NaN,NaN,NaN,NaN,0.0033215554134361,NaN,NaN,NaN
40,NaN,NaN,5.5293074100261,NaN,NaN,NaN,NaN,NaN
45,-0.021754360623097,0.878297064205167,NaN,0.594559288483536,NaN,0.000814757589413552,NaN,0.435377983487161
50,NaN,NaN,NaN,NaN,NaN,NaN,0.00141085693028025,NaN
55,NaN,NaN,NaN,NaN,0.00291957847306579,NaN,NaN,NaN
60,0.0573735376881498,NaN,7.57133813932678,0.422807018255385,NaN,0.00113027300492088,NaN,0.377433521326057
65,NaN,0.384180135159853,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,0.00205995357954785,NaN
75,NaN,NaN,3.54733653841384,NaN,0.00203946494062243,NaN,NaN,NaN
80,0.133272413500017,NaN,NaN,0.444100256988333,NaN,0.00116268603242703,NaN,0.475741125062289
85,NaN,0.633093541717902,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,4.76843456372481,NaN,NaN,NaN,0.00148910834581446,NaN
100,0.171750507150411,0.525363973365982,4.02430732457007,0.428261782918454,0.00290589388157045,0.00125901146323477,0.00178806281078189,1.10255200382928
150,0.181173135122797,0.480936667449051,8.00416993583594,0.758567673238139,0.00284852786156515,NaN,NaN,0.456380681010619
200,0.0936181983717182,0.818070277734006,5.12506112264725,0.618471095402812,0.00202723383923592,NaN,NaN,NaN
250,0.286132518913851,0.479447833395209,7.00221903881531,0.878647314193591,0.00217861646848959,NaN,NaN,NaN
300,NaN,0.678484270904449,NaN,NaN,NaN,NaN,NaN,NaN
