t,EpoRJAK2_Obs,pEpoRpJAK2_Obs,npSTAT5_Obs,CISHnRNA2_Obs,SOCS3_Obs
0,1.71005806311342,-0.0110272818887659,-0.0123660158635149,0.000166345878232196,394.492838152517
6.5,NaN,NaN,NaN,NaN,631.03172336387
8,1.02054337657077,NaN,NaN,NaN,NaN
8.5,NaN,0.130061299845415,NaN,NaN,NaN
10,NaN,NaN,-0.0322498321182642,NaN,NaN
15,1.62509751389498,0.147128783854692,NaN,0.000320508631886404,501.533362585722
20,NaN,NaN,0.203708569132071,NaN,444.054121759821
25,2.16423887501377,0.0889625119751356,NaN,0.00158835752550738,248.217067109783
30,NaN,NaN,0.240604054123901,NaN,NaN
35,2.13233533667981,0.0686339377018467,NaN,NaN,436.373797674121
40,NaN,NaN,NaN,0.00218507635086805,NaN
45,2.24129511271169,0.0283451398641968,0.209414011486559,NaN,297.012218747988
55,NaN,NaN,0.173598429406122,NaN,447.414626297884
60,2.1115939902577,0.0161330806204358,NaN,0.00193758381508319,NaN
70,NaN,NaN,0.135995756158492,NaN,459.107115655344
75,2.04692860195359,0.0284788611680212,NaN,0.00162206831341885,NaN
85,NaN,NaN,0.0896604882023423,NaN,445.531464198589
90,1.89228490611265,0.0432706732703676,NaN,NaN,NaN
95,NaN,NaN,NaN,0.00159679902516466,NaN
100,2.0154968349721,0.0595512931655366,0.113782064008631,0.00141686732365897,366.321712279017
150,1.17223644768744,0.024138531490281,0.0614729438294009,0.000684890006451224,NaN
200,NaN,NaN,0.0234363810922404,0.00142719956238601,NaN
