t,EpoRJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,nSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,Compound_1_Obs
0,1.28286144496003,-0.000123767522273512,3.04489448515877,-0.298812824500853,0.0417509564275983,0.0145485451485535,-0.00260526652088392,0.0260574745511726,0.0413106725240548,0.0164146820999391
4.5,0.724994596297164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,1.65903290883182,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,18.9838858321778,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.042115247460816,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0160394055945709,NaN,0.0667620972159126
7.5,NaN,NaN,NaN,NaN,0.0166400601932743,NaN,-0.0185390892384526,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,0.00438038304674502,NaN,NaN,NaN,NaN
9.5,1.17607515095002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.00709070585671603,22.5700416448541,3.56304445697193,NaN,NaN,NaN,NaN,NaN,NaN
15,1.71671196386324,NaN,14.1612111843322,4.05843298376495,0.0429717991643003,NaN,0.00951667585025458,0.07129468539258,0.0334002419351928,0.110276959407328
20,1.28989147202225,NaN,NaN,6.29976788665531,NaN,0.0793511137567576,NaN,NaN,0.0316115248639473,0.22976759928846
25,1.5916064888503,0.0119686356998691,11.1615092543149,NaN,0.131936128071371,NaN,0.0511097263411987,0.0721209990050212,0.0526797258223582,NaN
30,NaN,NaN,10.2919634702869,6.20462485491568,NaN,0.0987957535017752,0.0654611610417852,0.0990429560501063,NaN,0.238963292401889
35,1.12243234567893,0.00678341572529952,NaN,9.70287521585123,0.121430661533693,NaN,NaN,NaN,0.0838199915968823,NaN
40,0.911636968612786,NaN,6.32762407683229,NaN,NaN,0.152273177503065,0.103686397001585,0.0620890472940659,NaN,0.156192666261439
45,NaN,NaN,6.01687565928132,5.93180035671562,0.1410713769167,NaN,NaN,NaN,0.135566253700721,NaN
50,0.919801357258312,0.0084227229784017,NaN,NaN,NaN,0.149525235744547,NaN,NaN,NaN,0.111394521446025
55,NaN,NaN,NaN,5.15041917493946,NaN,NaN,0.145306076188197,0.095604882483716,0.0835383662822665,NaN
60,1.84007768964595,NaN,7.74139393957133,NaN,0.080217627850672,NaN,NaN,NaN,NaN,NaN
65,NaN,0.0140098029229087,NaN,5.23609316641306,NaN,0.038287785630313,0.0921938812366303,NaN,0.0971060346673867,0.08974944858913
70,0.865293285963479,NaN,0.739313147744707,NaN,NaN,NaN,NaN,0.0598398804242861,NaN,NaN
75,NaN,NaN,NaN,NaN,0.0599585109157169,NaN,NaN,NaN,NaN,0.0723952404789166
80,NaN,0.0102866228695479,NaN,2.85348545392228,NaN,NaN,0.0623686796006077,NaN,0.0383047142946122,NaN
85,1.50776839127274,NaN,2.50789410369757,NaN,NaN,0.0416948034576197,NaN,0.0626583878444772,NaN,NaN
90,NaN,NaN,NaN,NaN,0.0728453601245833,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,1.94953047138309,NaN,NaN,0.0374481674143555,NaN,0.0488414271805956,0.0313709813957425
100,NaN,0.00775003058310253,6.66537957727735,NaN,0.026697749139528,0.0375251021398119,0.0275099016008021,0.0805724723526842,0.0566029522306324,0.0920175183349222
150,NaN,0.0120083840322338,NaN,NaN,NaN,0.0512789993332591,0.0456841578632706,NaN,NaN,NaN
200,NaN,0.00979625237185868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
