t,EpoRJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,Compound_1_Obs
0,2.42847493794517,0.00628846559338958,1.75486823148846,-0.0222234966768843,0.0180973673761172,0.00867158309669378,0.0307197034472692
5,NaN,NaN,17.7198866226493,NaN,NaN,NaN,NaN
6.5,0.981859805453928,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,0.00419695780171095,0.0174092532014514,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,-0.0120713958073122,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,0.0307607476663654
10,NaN,0.00496440781056665,18.1701099380943,NaN,NaN,NaN,NaN
15,1.20002909775601,NaN,15.5482624663924,0.0721461830545131,0.0418294461932846,0.0230021828336099,NaN
20,1.93123856598349,NaN,9.70833613208497,NaN,NaN,NaN,0.130105424296926
25,NaN,0.0112334687102184,NaN,0.13076374756281,0.106209315698966,0.0254608863058248,NaN
30,0.837472364757278,NaN,8.95645539759541,0.138206972647432,NaN,NaN,0.189736787659189
35,NaN,0.0098591467440098,7.04378350426594,NaN,0.1266570035462,0.0869549758516669,NaN
40,1.8165269359067,NaN,NaN,0.161296185304082,NaN,NaN,0.148719617534913
45,NaN,NaN,3.24743418322566,NaN,0.11743263896826,NaN,NaN
50,2.01061915251173,0.00853363271244911,NaN,NaN,NaN,0.111112282910479,NaN
55,NaN,NaN,6.1087873410204,0.109290844166993,0.127449492867814,NaN,0.147437757291187
60,1.35816465057934,NaN,NaN,NaN,NaN,0.106988260842732,NaN
65,NaN,0.00903151392768046,2.66925047334325,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,0.0561643514286032,0.097203266350868,NaN,0.122427556993248
75,2.26308817786273,NaN,3.47464740109901,NaN,NaN,0.0388900455497996,NaN
80,NaN,0.0108888723181153,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,0.0727401131377915,0.0364397175117099,NaN,0.10046544565282
90,1.82536314447757,NaN,7.19486709427364,NaN,NaN,0.0423305003038985,NaN
100,1.82802782808162,0.010561189377382,1.92838609468425,0.00832605486416988,0.0182069317826907,0.0454259672772857,0.125920700920439
150,NaN,0.014054953573082,NaN,NaN,NaN,0.0378691651159679,0.0761083589941451
200,NaN,0.0133123256697087,NaN,NaN,NaN,NaN,NaN
