t,Rec_Obs,Rec_i_Obs,IL13_Rec_Obs,p_IL13_Rec_i_Obs,JAK2_Obs,DecoyR_Obs
0,1.31803380155401,307.382159083976,-0.0278507904505705,-0.00898581817590707,2.64254308105785,0.339340891256356
4,1.81266645701335,NaN,NaN,NaN,NaN,NaN
5,NaN,318.348012565798,-0.0146582527523622,0.0103796234105678,NaN,NaN
6,NaN,NaN,NaN,NaN,2.91343051378159,0.343869226675191
8,2.04922272547909,NaN,NaN,NaN,NaN,NaN
10,2.069944591509,292.007765766398,0.0208964534150275,-0.00456276373105885,NaN,NaN
15,NaN,331.956357855145,0.0372437155005065,0.0734437099162553,2.58910878195367,0.340876722610211
20,2.06418177615404,318.861125394946,-0.00258311954700214,NaN,2.76802030721774,0.351678523667037
25,2.05150578149331,NaN,NaN,0.0474196490897668,NaN,NaN
30,2.13100245024493,304.102847516371,-0.0304035038268365,-0.0694993928897039,2.80874061236509,0.338746461497371
40,NaN,322.444301896153,0.0242381747652166,-0.0259030278204592,2.88089421209399,0.338536369518923
50,NaN,327.009319883303,NaN,NaN,NaN,NaN
60,NaN,310.524390190375,NaN,NaN,NaN,NaN
