t,Rec_Obs,Rec_i_Obs,p_IL13_Rec_Obs,JAK2_Obs,pJAK2_Obs,STAT5_Obs,pSTAT5_Obs,DecoyR_Obs,IL13_DecoyR_Obs
0,1.27823395562982,310.596326445931,-0.0104816660557019,2.7621240509617,-0.0259697732105388,162.903057116897,-1.16267407793628,0.343294125876479,-0.00102575542733748
3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.126956732506524,0.198245569553708
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0474212773568678,0.298555902546586
10,NaN,323.531880413044,0.171584549245208,1.15057314641024,1.67811952489262,127.329403975842,38.1603195613928,0.017925821354407,0.321963179875604
15,1.6381198933149,NaN,NaN,NaN,NaN,NaN,NaN,0.010793555702037,0.333570081894284
20,NaN,NaN,0.181125657714417,NaN,NaN,83.2011070209374,89.3229764027256,0.00359946103425093,0.3510807893068
25,1.61897065245282,324.000776162176,NaN,0.852919205961032,1.95208013783907,NaN,NaN,-0.000873411967186636,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,110.05910767181,-0.00356596799001544,0.331357501707226
35,NaN,326.4525013796,0.163173796102611,0.945180944995604,1.8197795190127,61.0330039631373,NaN,NaN,NaN
40,1.61365414104818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,0.171582335007454,NaN,NaN,53.6075282293145,106.02654067227,NaN,NaN
50,NaN,300.058025666318,NaN,1.20665840543047,1.58443869337427,NaN,NaN,NaN,NaN
55,1.60668883837855,NaN,NaN,NaN,NaN,NaN,99.970788975105,NaN,NaN
60,NaN,NaN,0.169379607057167,1.33907102132367,NaN,61.4940471523896,NaN,NaN,NaN
65,NaN,308.120534278846,NaN,NaN,1.34267510333872,NaN,NaN,NaN,NaN
70,1.53552460019587,NaN,NaN,NaN,NaN,NaN,100.078946180405,NaN,NaN
75,NaN,NaN,0.167857581769217,1.5713662032701,NaN,65.925451523623,NaN,NaN,NaN
80,NaN,285.631140430674,NaN,NaN,1.20909365220604,NaN,NaN,NaN,NaN
85,1.61284601647002,NaN,NaN,NaN,NaN,NaN,94.469900149947,NaN,NaN
90,NaN,NaN,0.168722789699826,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,300.246662744727,NaN,1.70906581991241,NaN,80.9865627920371,NaN,NaN,NaN
100,1.53235493379026,306.164328368176,0.176385591634761,1.80441295819974,0.992929518690486,78.4268721303616,84.7225046091668,NaN,NaN
150,1.48983584859216,280.441234561903,0.168591942618371,2.04101771901227,0.689656466905619,88.821372343532,71.012111155966,NaN,NaN
200,1.4045100274088,289.101591868931,0.150848765616689,2.23106619364751,0.606551221297161,101.466294214676,67.08556553149,NaN,NaN
250,1.47157118237742,274.836619110043,0.147561327638489,2.17874767643887,0.576446703224004,98.516632160202,NaN,NaN,NaN
300,1.4010599468548,275.258397335743,0.141463328572148,NaN,NaN,NaN,NaN,NaN,NaN
