t,Rec_i_Obs,IL13_Rec_Obs,p_IL13_Rec_i_Obs
0,314.968330952169,2.13946323621739e-05,0.056087281175471
10,308.645863645899,NaN,1.89636531619464
20,NaN,0.000155768521046979,NaN
25,299.995558735831,NaN,2.24562947421511
35,NaN,0.000158874267172252,2.31953946509198
40,301.695143347586,NaN,NaN
50,282.969049570666,NaN,2.26786651372157
55,NaN,0.000196250090459006,NaN
60,NaN,NaN,2.21711919454982
70,287.509125464729,NaN,NaN
75,NaN,0.000210902646784293,NaN
80,NaN,NaN,2.20843353008917
85,288.244411335489,NaN,NaN
95,NaN,NaN,1.9849732407264
100,274.061671984795,0.000235824528057022,2.04880700535144
150,255.073545232841,0.000269093951333672,1.99791786790887
200,233.36688265448,0.00030127014512768,1.84467392780522
250,226.998851579898,0.000288905155008055,1.56514000559075
300,193.793178774614,0.000301616972448095,1.63958457207823
