t,Rec_Obs,IL13_Rec_Obs,p_IL13_Rec_Obs,p_IL13_Rec_i_Obs,pJAK2_Obs,STAT5_Obs,pSTAT5_Obs
0,1.17516703662442,-2.35176882079151e-06,0.000258139526676876,0.00911691748760402,-0.00342865326027873,162.017007987974,-1.32560062646637
10,1.90336649084277,NaN,0.0406329536484012,0.180731231060465,0.558587738224911,149.715082091813,NaN
15,NaN,5.16125519592073e-05,NaN,NaN,NaN,NaN,27.7200100961243
20,1.99861603672771,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,4.15522914207197e-05,0.0433559411721346,0.22909134561456,0.935052983125391,117.948640726827,52.7703720134268
35,1.99895601824763,NaN,NaN,0.247996018635306,0.955992217187847,NaN,NaN
40,NaN,3.82061142228197e-05,0.0443236636307934,NaN,NaN,91.1113007529657,70.4446316535315
45,2.06758240157963,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,0.0456778833449403,0.233802292840206,0.863993017444113,NaN,NaN
55,NaN,5.17599304996776e-05,NaN,NaN,NaN,92.0946111405787,75.1282085059898
60,1.95759430439536,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,0.0419248325835945,0.23560972217896,0.738335025847524,NaN,NaN
70,1.92724960737248,5.29886191277793e-05,NaN,NaN,NaN,94.208774952357,71.5443032115626
80,NaN,NaN,NaN,0.232287456170803,0.582585214738528,NaN,NaN
85,NaN,6.22518754259121e-05,0.042135722166184,NaN,NaN,95.7713757526258,67.6154194288697
90,1.96533291980567,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,0.532156076307443,NaN,NaN
100,1.96453006434402,7.93608618515952e-05,0.0402385782672777,0.239330242822634,0.492081578900881,112.159728202439,62.1198579679027
150,1.90650923119297,0.000116853552802008,0.0429431240185611,0.218571667080621,0.339613163552306,115.732278757359,44.8390689302556
200,1.86428838990321,0.000162592825517976,0.0423152920812444,0.238233695949293,0.234712257986201,127.934113413856,36.3026616103114
250,1.88812900059379,0.000193371390836924,0.0420349218794797,0.236230157347039,0.180130522467854,144.18050570856,26.7562468976267
300,1.87016503866445,0.000201226388610155,0.041961751858753,0.225671250518165,NaN,137.902909990764,26.6059023893775
