t,K27me0K36me3_Obs,K27me3K36me1_Obs,Compound_1_Obs
0,0.0995331709447448,0.00298064032470501,0.0110155872049966
4,0.0780962658489109,NaN,NaN
4.5,NaN,0.00328709919450444,0.0103761255034459
8,0.0845721453708383,NaN,NaN
9,NaN,0.00333553165992172,0.0106402838138516
10,0.0830569584278704,NaN,NaN
15,0.0965899326334289,0.00374515514703345,0.0135603307234471
20,0.0810939321539422,0.00362756021063467,0.0150021874546191
30,0.0707753556475878,0.00352990679324784,0.0135531236155999
35,0.0666572024050189,0.00414208494932034,0.0150271558049341
40,0.0570058065184074,NaN,NaN
50,0.0393299575148028,0.0044763494802404,0.0176061358998498
60,0.0498627512419192,0.00436923424382587,0.0170976801785024
