t,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,CIS_Obs
0,0.00575100138649443,39.4425443901923,0.0294644457625301,-2.38194439195056
7.5,NaN,NaN,0.0153837867475079,NaN
8,NaN,44.3490931961814,NaN,NaN
8.5,NaN,NaN,NaN,1.99456028392245
9,0.0550690558330283,NaN,NaN,NaN
15,NaN,39.0411251976759,0.0728721233052211,-2.91974989561802
20,0.0278683412680859,NaN,NaN,NaN
25,NaN,35.9231875466072,0.083721905628658,1.25646885095461
30,0.0349014508222558,NaN,NaN,NaN
35,NaN,36.7817674801714,0.12288840650165,2.48180462109345
40,0.0303636460451832,NaN,NaN,NaN
45,NaN,47.5784355636203,0.149928658107239,5.95127136948119
50,0.0211582207637837,NaN,NaN,NaN
55,NaN,34.6449198596479,0.117566183000176,NaN
60,0.0201324957116449,NaN,NaN,22.355954961582
70,NaN,35.9168259515704,0.124225381319691,24.7815929353142
75,0.01436889601189,NaN,NaN,NaN
85,NaN,NaN,NaN,36.8803990443608
90,NaN,41.2699274028652,0.131696314734693,NaN
95,0.0184272929356207,NaN,NaN,NaN
100,0.0153139683418789,31.2374219266939,0.154416999857375,37.594936978665
150,0.0191195537802165,27.7850151827087,NaN,40.6885197047314
200,NaN,NaN,NaN,30.2542703511283
