t,epo_level,SOCS3_Obs
15,2.5e-09,0.0326891117163147
15,7.905e-09,0.0852782486514856
15,1.25e-08,0.000242268442022582
15,1.75e-08,-0.0420772102750503
15,1.75e-08,-0.00355646533723925
15,1.75e-08,0.0394789166939211
15,2.5e-08,0.142851228724775
15,2.5e-08,0.143116700417363
15,2.5e-08,0.155408194906894
15,3.95e-08,0.0342755674043737
15,3.95e-08,0.174402484208073
15,3.95e-08,0.229021283530561
15,7.9e-08,0.320321152533943
15,1.25e-07,0.483293598575481
15,1.7675e-07,0.563637191012572
15,2.5e-07,0.475631451121972
15,2.5e-07,0.660534652982593
15,2.5e-07,0.781521691255952
15,7.905e-07,1.81929519128684
15,2.5e-06,2.49947878906756
15,2.5e-06,2.56625341855662
15,2.5e-06,2.68306387543204
