t,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,CIS_Obs
0,-0.00207388327537834,38.4395460904592,0.00456479789563644,-0.0334687810759846
6,NaN,35.1415252750134,NaN,NaN
10,0.00536619490969619,37.4169611855105,NaN,NaN
15,NaN,NaN,NaN,-0.0558231156603208
20,NaN,40.0085328770811,0.00217473707881483,NaN
25,0.0197353757766001,35.4799084227241,NaN,0.0844224609247136
30,NaN,36.989716447167,NaN,NaN
35,0.0180184458150102,NaN,NaN,NaN
40,NaN,38.1585565514257,0.0234452276502636,0.13842495149108
50,0.0128513524584188,37.7142184609735,NaN,NaN
55,NaN,NaN,NaN,-0.00240530042511466
60,NaN,39.0334831645265,0.0347936873876122,NaN
65,0.00953492826791904,NaN,NaN,NaN
70,NaN,39.0869893275319,NaN,0.241300202049139
80,NaN,NaN,0.0480791311699665,NaN
85,0.00698765962479465,46.6006472703642,NaN,NaN
90,NaN,NaN,NaN,0.473871252113399
100,0.00444259120793833,42.7669651499043,0.0391029575755191,0.525134785849523
150,0.00438621700637194,NaN,0.0479829249677085,0.989520081494507
200,0.00533053919191591,NaN,0.0435456207095772,1.12079023909419
250,NaN,NaN,0.0401961792385334,NaN
300,NaN,NaN,0.0497036264447763,NaN
