t,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,CIS_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,-0.00020919229630021,46.5560146334965,0.00656715137427845,55.4966950934344,1.88754926995819,-0.000128472643288858,-0.387044913760091
10,NaN,42.3333351205293,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,39.6306539712734,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,2.65521301781201
25,NaN,35.5430380450727,0.0945226534618973,20.8942985607596,NaN,NaN,NaN
30,0.0342788759281834,NaN,NaN,NaN,2.27049800160585,NaN,NaN
35,NaN,36.6104849436397,NaN,NaN,NaN,NaN,5.40532684257298
40,NaN,NaN,NaN,23.9967416098467,NaN,NaN,NaN
45,NaN,NaN,0.128228679098852,NaN,NaN,0.00227285787684042,NaN
50,NaN,46.1560281171264,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,39.2215076182178,NaN,NaN,10.1571628518632
60,0.0205079196971514,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,39.6101158047363,NaN,NaN,18.9109589323111,NaN,NaN
75,NaN,NaN,0.144291963751673,33.3959434835509,NaN,NaN,13.3596979965645
85,NaN,43.0335869311894,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,31.1326929856499,NaN,0.00152089813954105,NaN
95,0.0140096543362215,NaN,NaN,NaN,39.881096123678,NaN,NaN
100,NaN,34.998714518371,0.0916241586131529,49.6643662801301,NaN,NaN,16.692453610597
150,0.0146087329527931,23.6096933301384,0.129345704486434,43.40570320992,38.6614468608363,0.000677706344906573,13.9552270608278
200,0.0243679956672551,42.8884976971295,0.174961735153315,33.4531160386831,33.8767596176101,0.00081279878279487,8.94577341837981
250,NaN,NaN,0.139852747594275,48.720266831946,19.1912467479113,0.000650649896491287,8.50268620173214
300,0.0160437495939342,NaN,0.171066038744121,NaN,31.4454852944041,NaN,NaN
350,0.0229527751396085,NaN,0.140942811533092,NaN,29.9020272980446,0.000617797075846477,NaN
400,0.0190667344585023,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,27.3544280753106,NaN,NaN
550,NaN,NaN,NaN,NaN,28.9937326398844,NaN,NaN
600,NaN,NaN,NaN,NaN,27.8899077090761,NaN,NaN
750,NaN,NaN,NaN,NaN,28.026984094855,NaN,NaN
850,NaN,NaN,NaN,NaN,29.2463674329418,NaN,NaN
