t,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,CIS_Obs
0,0.0172233138051392,46.6229149891183,-0.0351438562869286,-6.01478018803139
7,0.148684553210119,NaN,NaN,NaN
9,NaN,NaN,NaN,5.22348905942139
10,NaN,38.0234613346848,0.208170747686085,NaN
15,0.178667812291605,NaN,NaN,NaN
20,0.143512271538333,40.0790712838506,0.143949747170032,1.74568548061132
30,0.07796910589781,45.5334607522194,NaN,7.10167283968489
35,0.0600365755894719,NaN,0.234462156383024,NaN
40,NaN,32.3929669044302,NaN,20.1020286792914
45,0.0371342268072073,NaN,0.314611145495865,NaN
50,NaN,NaN,NaN,40.7459565641358
55,0.040194364507656,41.311238222094,NaN,NaN
60,NaN,NaN,0.316660811326881,NaN
65,0.0286114097447375,NaN,NaN,52.2889275166413
70,NaN,36.204814636591,NaN,NaN
75,NaN,NaN,0.383921295532323,NaN
80,0.0363619217980603,NaN,NaN,65.9103898948723
85,NaN,41.5960477302156,NaN,NaN
95,0.0393260308492885,NaN,0.287862654665547,NaN
100,0.0310871773396106,41.484555994304,0.299339299273508,64.1109260500516
150,0.0419868411214864,32.6106551355416,0.429214762107158,53.3497932734434
200,NaN,29.3452483447315,0.316139151557322,37.4675399997584
