t,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,CIS_Obs
0,0.00255120467571949,117.353206081102,-0.0262962078368032,1.26924517729752
9,0.0438435765266816,NaN,NaN,4.74132890348417
10,NaN,109.867986832818,0.0950845448346465,NaN
20,0.0285809512186034,110.795893781451,NaN,-1.44355588017858
25,NaN,NaN,0.166102219052422,NaN
30,0.0239999621607879,NaN,NaN,2.29064606973998
35,NaN,104.094182172662,0.224040377070301,NaN
40,0.019770128166686,NaN,NaN,8.2070028586104
45,NaN,113.602828535581,NaN,NaN
50,0.00715047629711499,NaN,0.206913151008434,13.6737875863624
60,NaN,108.518001121653,0.213570023704792,NaN
65,0.00994988805417673,NaN,NaN,15.7737798047295
75,NaN,91.4199832816727,NaN,NaN
80,0.0138368967473137,NaN,0.239749601685223,23.6109347573685
95,NaN,93.6095584550215,NaN,NaN
100,0.0120184689869423,102.852398804362,0.207212750646887,28.0512948319135
150,0.0096228151247992,94.7375071968568,0.236100801106764,30.2404806854359
200,NaN,110.521840830856,0.24547792323067,20.9101227510086
