t,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,CIS_Obs
0,0.0018405685365184,78.1545253616984,-0.0108163640076192,1.77619907483009
8.5,0.0467207737875566,NaN,NaN,0.946809129105515
10,NaN,95.5097640734794,0.17549453264453,NaN
15,0.0346211644017386,NaN,NaN,-3.20846279191044
20,NaN,99.2920493314824,NaN,NaN
25,0.0281730647290342,NaN,0.227415643254166,2.77802326672708
35,0.0212784551218803,106.622334673511,0.175891921930265,3.40316852163424
45,NaN,112.600583654689,NaN,12.3246956349421
50,0.00919778452467016,NaN,0.200969077516078,NaN
60,0.011502389829018,102.549761335087,NaN,19.2484803958823
65,NaN,NaN,0.196882532395982,NaN
75,0.0157768911596997,NaN,NaN,25.3803711938168
80,NaN,55.7128769198052,0.216153277670525,NaN
90,NaN,NaN,NaN,31.5143731946246
95,0.0079052414567928,96.9525008996446,NaN,NaN
100,0.00732522333105781,125.487518891446,0.223345124918381,29.6452463478707
150,0.0115294870899663,88.6437757377647,0.268311545276615,29.8620311004832
200,NaN,92.1862086379994,0.209935162208974,20.5182982903028
