t,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,CIS_Obs
0,-0.00154111059732126,28.4979392656248,0.00106841347468306,-0.0116726864924558
6.5,NaN,42.454640905992,NaN,NaN
10,NaN,NaN,NaN,-0.120911047724814
15,0.00670029259180028,40.6810776720568,0.0126529824725489,NaN
20,NaN,43.2306765588975,NaN,-0.062287703117623
25,0.0160018778134027,NaN,NaN,NaN
30,NaN,32.1676894284406,0.0182043337793791,-0.081606336353655
35,NaN,30.7510317660056,NaN,NaN
40,0.016592029674629,NaN,NaN,NaN
45,NaN,40.5328026927867,0.027784570662816,0.129799598887744
55,NaN,41.7962539184497,NaN,NaN
60,0.010302757451597,NaN,NaN,0.17661891337245
65,NaN,NaN,0.0405429866652285,NaN
70,NaN,29.6451773492666,NaN,NaN
75,NaN,NaN,NaN,0.360086998919778
80,0.00633141327285081,NaN,NaN,NaN
85,NaN,32.8542395183015,0.0421927226275798,NaN
95,NaN,NaN,NaN,0.498568688313415
100,0.00730961330780186,47.7491378416477,0.0375319307305609,0.626671737150574
150,0.00394128349341992,NaN,0.0405188836574065,0.992987009302564
200,0.0033704238995664,NaN,0.0367274823259373,NaN
250,NaN,NaN,0.0461421180222334,NaN
300,NaN,NaN,0.0450717310470837,NaN
