t,p1EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs
0,0.00382308314543805,37.7365015137702,-0.0146679866595228,53.514952887694
9.5,NaN,42.5865201905587,NaN,NaN
15,0.0479040869195541,NaN,NaN,-0.947709812979027
20,NaN,31.0996248818635,NaN,NaN
25,NaN,NaN,0.0766872436508736,2.5979985045117
30,NaN,38.1446210487785,NaN,NaN
35,0.0319649785742062,NaN,NaN,NaN
40,NaN,NaN,NaN,5.45352089969253
45,NaN,43.8109517596312,NaN,NaN
50,0.0228951387380958,NaN,0.147763733101779,NaN
55,NaN,36.8210958272936,NaN,9.93559506340023
70,0.0258273521805982,NaN,NaN,NaN
75,NaN,37.9322289500623,NaN,17.1336933024044
80,NaN,NaN,0.159136309070522,NaN
90,NaN,NaN,NaN,16.3709111909424
95,0.0266554928492749,31.1435938145648,NaN,NaN
100,0.0224203990412333,NaN,0.173968321253762,23.9680256398741
150,0.0249136710211718,NaN,0.210515152279897,19.7891505782396
200,0.0225546955403759,NaN,0.236625935240125,19.6455002786443
250,0.0273178430331069,NaN,0.194016915293549,22.7143794585238
300,NaN,NaN,0.279710897540389,NaN
350,NaN,NaN,0.193744726602402,NaN
450,NaN,NaN,0.212922787226161,NaN
