t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,49.9060682005712,4.34336133866723e-08,0.0154560814280719,0,263.548838570642,9.10626751577512e-06
75,NaN,NaN,NaN,NaN,266.232004912981,NaN
150,593825.150829457,NaN,NaN,NaN,360.796506228012,NaN
250,NaN,NaN,NaN,NaN,351.286776290359,NaN
350,117051.263891702,NaN,NaN,0.0154817893404513,197.514186499646,NaN
400,NaN,7.01797420009487e-05,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,203.706156653462,0.00265408660160171
550,97807.870513758,NaN,0.0329719572389203,NaN,102.591317834114,NaN
700,NaN,NaN,NaN,0.00393513797616672,261.762326899461,NaN
750,40169.7021085651,NaN,NaN,NaN,NaN,NaN
800,NaN,1.50678387697687e-05,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,143.614273127347,0.00319089427301339
1000,11105.4158574289,7.34933805226572e-05,0.00988117420719143,0.00788852610912315,644.466118909248,NaN
1500,37189.2002158715,1.20050619065709e-05,0.0123356157639742,0.000531966974692451,NaN,0.00247980386422903
2000,5422.13830543435,9.42588689880202e-07,NaN,0.00162153267530764,NaN,0.00246704362013591
2500,334.476874490051,NaN,0.0126728865655619,0.00038905870481919,NaN,0.00522980435617961
3000,268.864300641703,2.77443866160917e-06,0.00474528599717139,6.86178677155205e-05,NaN,0.000915056839236362
3500,NaN,1.71114380487497e-06,NaN,NaN,NaN,NaN
4000,NaN,NaN,0.025201922007858,2.71051785963762e-05,NaN,0.00382951537409564
4500,NaN,2.39852188165949e-06,NaN,3.53749514010203e-05,NaN,NaN
5000,NaN,1.75965076412127e-06,0.0219502716265201,NaN,NaN,0.00221117949338822
5500,NaN,NaN,NaN,6.25449805324422e-05,NaN,NaN
6000,NaN,NaN,0.0569002765434612,NaN,NaN,0.000895197564248711
7000,NaN,NaN,0.0351651478949568,NaN,NaN,0.000913980665185399
8500,NaN,NaN,0.0214461715415847,NaN,NaN,0.000211997903569314
