t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,2542.0219902881,2.04354004585711e-07,0.0126129867298368,0,214.539538157054,1.76906895176839e-05
80,NaN,NaN,NaN,NaN,407.75420774048,NaN
100,3131079.74318222,NaN,NaN,NaN,NaN,NaN
150,NaN,NaN,NaN,NaN,61.5756526381458,NaN
200,3217200.99576754,NaN,NaN,NaN,NaN,NaN
250,NaN,NaN,NaN,NaN,152.528489399741,NaN
300,707958.817125598,NaN,NaN,0.00947258388945125,NaN,NaN
350,NaN,9.95789978265796e-05,NaN,NaN,177.559963396974,NaN
450,55067.2304236264,NaN,NaN,NaN,315.038078937726,NaN
500,NaN,NaN,0.0171114014123709,NaN,NaN,0.00146791718599158
550,85174.1735846554,NaN,NaN,NaN,1974.81546182016,NaN
650,NaN,NaN,NaN,0.00148258273735846,NaN,NaN
700,97468.0632304033,NaN,NaN,NaN,95.0648995105969,NaN
750,NaN,1.39104980978291e-05,NaN,NaN,NaN,NaN
900,36735.9023434955,NaN,NaN,NaN,332.980657983287,NaN
950,NaN,NaN,0.0225101762302791,0.00813749098007505,NaN,NaN
1000,12594.6299311896,1.97025945308856e-06,NaN,NaN,612.499818301076,0.00369337358201365
1500,3507.02250818566,1.27153013392509e-06,0.0440038466469256,0.0022533955997034,328.93813812398,0.0182722127255884
2000,2269.76061681275,1.08152489093905e-05,0.0313916627651636,0.00024320858862658,NaN,0.0115012381337299
2500,NaN,NaN,NaN,0.000468283810694302,NaN,NaN
3000,NaN,4.88215608132913e-06,0.0216676160407509,0.000638660584359257,NaN,0.00226066320026195
3500,NaN,2.59987101498635e-06,0.0233084405941617,0.00208108750666023,NaN,0.00172986423092444
4500,NaN,NaN,0.0143882677283754,0.000577760964148277,NaN,0.00151081572869326
5500,NaN,NaN,0.0151756202387142,NaN,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.00172792078745498
7000,NaN,NaN,0.0203866450887279,NaN,NaN,0.00176659837946123
8500,NaN,NaN,NaN,NaN,NaN,0.00233338633548467
