t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,466.823227561515,1.32035643157308e-07,0.0609206683580786,0,262.013018816808,5.25964461843224e-06
40,2462505.56774393,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,387.67804044497,NaN
85,7262819.49276635,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,104.757063967778,NaN
150,2020863.89889211,NaN,NaN,NaN,NaN,NaN
200,686508.21213552,NaN,NaN,NaN,156.684070998415,NaN
250,1400070.32774584,NaN,NaN,NaN,149.979551073437,NaN
300,214698.38055583,NaN,0.00468310955782198,0.016643002099999,NaN,NaN
350,276721.967361946,NaN,NaN,NaN,417.466893237373,NaN
400,NaN,2.94213316288123e-05,NaN,NaN,NaN,NaN
450,175914.271844498,NaN,NaN,NaN,508.980932554589,NaN
500,NaN,NaN,NaN,NaN,NaN,0.0103845772804591
550,15695.0089892278,NaN,NaN,NaN,99.8060753760024,NaN
600,NaN,NaN,0.0361515141107009,0.00552474397760806,NaN,NaN
650,9929.86376272303,NaN,NaN,NaN,193.848518632541,NaN
750,13729.5643870973,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,307.395755149134,NaN
850,NaN,2.02884321939022e-06,NaN,NaN,NaN,NaN
900,NaN,NaN,0.051713930622836,NaN,NaN,NaN
950,NaN,NaN,NaN,0.0012864784087586,NaN,0.00986131855188516
1000,NaN,NaN,NaN,NaN,607.557350924494,NaN
1500,NaN,1.20420183579807e-05,0.173485865720597,0.00104250745985865,NaN,0.00440623110147232
2000,NaN,2.97153724184176e-06,0.00502416552940881,0.00116983799397319,NaN,0.00247387215166103
2500,NaN,8.64527612826203e-06,0.036045101794839,NaN,NaN,0.0031006023436061
3000,NaN,NaN,0.036073578288345,0.00031431111627034,NaN,NaN
3500,NaN,2.76760531357276e-06,NaN,0.00121202088107399,NaN,0.00478179171954705
4000,NaN,NaN,0.036959170406461,NaN,NaN,0.000525614279924346
5000,NaN,NaN,0.0173228141358906,NaN,NaN,0.00126097273089314
6000,NaN,NaN,NaN,NaN,NaN,0.000271709814252628
7000,NaN,NaN,NaN,NaN,NaN,0.00310740031941557
8500,NaN,NaN,NaN,NaN,NaN,0.00282302683505455
