t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,16300.5104513335,6.95065830656346e-09,0.0797574043951537,0,221.572989183924,5.81945687945596e-06
40,2253413.64268372,NaN,NaN,NaN,NaN,NaN
75,1916284.2775057,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,117.280472958773,NaN
100,7070933.02448796,NaN,NaN,NaN,NaN,NaN
150,5124480.00268265,NaN,NaN,NaN,599.424842294999,NaN
200,1017587.62402721,NaN,NaN,NaN,NaN,NaN
250,247911.452141843,NaN,0.00852667781197942,NaN,616.17527204515,NaN
300,156742.337542097,NaN,NaN,0.00691713368360913,NaN,NaN
350,NaN,NaN,NaN,NaN,238.65520370211,NaN
400,26484.9857273362,3.62393604477948e-06,NaN,NaN,NaN,NaN
450,2844.85945130547,NaN,NaN,NaN,198.272495262178,NaN
500,NaN,NaN,0.0176008674925213,NaN,NaN,0.00205742764585051
550,15887.9091819427,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,0.0184534607411874,381.876244500156,NaN
650,34706.6305668185,NaN,NaN,NaN,NaN,NaN
750,103581.395986531,NaN,0.0108353889835047,NaN,243.864243963476,NaN
800,NaN,1.78783093326731e-06,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,0.000721994766932846,329.14065431657,NaN
1000,NaN,2.07671888246591e-05,0.0112225686937358,NaN,178.031124907414,0.0012305412646161
1500,NaN,7.66479736009008e-06,0.0142909414176016,0.000551137945467119,189.209660397496,0.0045434762668368
2000,NaN,NaN,0.0760909796296273,0.000175354733447067,NaN,NaN
2500,NaN,2.61362657258149e-05,0.0177688612510716,0.00142842690015759,NaN,0.00568140131029595
3000,NaN,3.70695211662547e-06,0.022500937542308,NaN,NaN,0.00831741246445924
3500,NaN,NaN,NaN,0.000433608760899386,NaN,NaN
4000,NaN,NaN,0.0299749247345256,NaN,NaN,0.00250864344199604
4500,NaN,NaN,NaN,NaN,NaN,0.000301045606828784
6000,NaN,NaN,NaN,NaN,NaN,0.00334010545771963
7000,NaN,NaN,NaN,NaN,NaN,0.00190502082186491
8500,NaN,NaN,NaN,NaN,NaN,0.000403671081770866
