t,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs
0,1350.24595584692,7.14912023677101e-08,0.0182505648123454,0,279.251472128054,3.67291523784336e-05
90,NaN,NaN,NaN,NaN,193.852603153466,NaN
100,1110468.90065201,NaN,NaN,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,282.902790966775,NaN
250,1148715.95816324,NaN,NaN,NaN,NaN,NaN
300,NaN,NaN,NaN,NaN,113.198144354306,NaN
350,NaN,9.51662971191576e-05,NaN,NaN,NaN,NaN
400,93041.1869973685,NaN,0.0148029151671485,NaN,461.25493019506,NaN
450,NaN,NaN,NaN,0.00507209839697317,NaN,NaN
500,NaN,NaN,NaN,NaN,16.1997868786439,0.00197848550331977
550,79717.3487619846,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,41.1534885577032,NaN
700,103714.051960244,NaN,NaN,NaN,NaN,NaN
750,NaN,7.19600595931463e-05,NaN,NaN,NaN,NaN
850,NaN,NaN,0.0063287051507207,NaN,238.557048811509,NaN
900,NaN,NaN,NaN,0.00278340278631282,NaN,NaN
950,15008.2167075392,NaN,NaN,NaN,NaN,NaN
1000,71800.0104673222,5.41493585164582e-05,NaN,NaN,401.918250351356,0.00640171486027229
1500,NaN,3.28585392530865e-06,0.0080843275222012,0.003324519714743,138.69710541935,0.00960120839317885
2000,NaN,1.13290162302976e-06,0.033691182040191,0.000628878301204602,NaN,0.00285709419974031
2500,NaN,NaN,NaN,0.00032633729429405,NaN,NaN
3000,NaN,2.59523309226177e-06,0.120431043245241,NaN,NaN,0.00450950851238735
3500,NaN,3.87917170986079e-06,0.0378751436773385,0.000173105123124706,NaN,0.00105456313168716
4000,NaN,NaN,0.0201687388146065,0.000122322645650144,NaN,NaN
4500,NaN,1.67546849422397e-06,NaN,NaN,NaN,0.00295166627366751
5000,NaN,NaN,0.0043215921293967,0.000256028542539129,NaN,NaN
6000,NaN,NaN,0.0313409052168164,NaN,NaN,0.0015016397766301
6500,NaN,NaN,NaN,0.000173176869776385,NaN,NaN
7000,NaN,NaN,0.0352242245669045,NaN,NaN,0.00114468242206962
8000,NaN,NaN,0.0101989704413486,NaN,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.00149606939812763
