t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,10.3308171054331,6.0532260230947,14.6403810126595
2,NaN,NaN,19.6643364718226
2.5,6.90907818957437,NaN,NaN
3.5,NaN,5.78044412734497,15.3907393016082
5.5,8.08266759692843,NaN,11.9076492323532
7,NaN,4.29937904648239,NaN
7.5,NaN,NaN,26.6869369697217
8.5,7.82205545008996,NaN,NaN
10,9.8131669639276,7.66460269778525,13.8428366098481
15,8.76037612112294,16.9069742794505,15.1674987170123
20,6.19790851835856,6.74949375334603,10.1191994084202
25,NaN,5.17175878946612,14.2567860770236
30,NaN,6.96622085534817,8.43518435202967
40,NaN,8.37666730214272,NaN
45,NaN,17.4396428794705,NaN
55,NaN,4.79926361079853,NaN
70,NaN,15.003339247037,NaN
