t,K27me0K36me1_Obs,K27me1K36me0_Obs,K27me0K36me2_Obs,K27me1K36me1_Obs,K27me3K36me2_Obs
0,0.00697486437548351,0.00231021625308157,0.112989704944979,0.0155320594874342,0.00323168468655038
3,NaN,NaN,NaN,NaN,0.00404773005948006
4,0.00207765893899635,0.00156247329790251,0.100997635296418,0.0110614052410932,NaN
6,NaN,NaN,NaN,NaN,0.0039512540400305
7.5,NaN,NaN,NaN,0.00985884547113806,NaN
8,NaN,0.00185206660482247,0.068211685640566,NaN,NaN
8.5,0.00142003329949488,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.00394864237529216
10,NaN,0.00155884823306229,NaN,0.0122568234666657,NaN
15,0.00100965577471692,0.00173110973415551,0.0471749610027886,0.00919653642630645,0.00413927541420207
20,0.000824763744435972,0.00159960060797372,0.0389291397272449,0.00926245119391166,0.00391322875249376
25,0.000689486030060187,0.00192369047535621,0.0262372378442901,0.0100499854573844,0.00442102553843138
30,0.00028449364972092,NaN,0.0153152417809176,NaN,0.00286183055929253
35,NaN,0.00187804876726926,NaN,0.0110832469453122,0.00283234074624608
40,9.89170713659468e-05,0.00175908983669962,0.00204400833679846,0.0110454614127222,NaN
50,2.91416315468714e-05,0.00198348386450809,0.00274391306368089,0.012261118740072,NaN
60,0.00017465599062395,0.00167446787523237,0.0122502961306567,0.00784792196025877,NaN
