t,PI4K3B_Obs,CERTTGNa_Obs
0,2291398.21970208,126516996.062734
3,88418354.525232,79712673.0763925
6,130589654.523307,163557604.402779
9,322052576.454372,NaN
9.5,NaN,163745943.54148
10,192032993.585379,NaN
15,133648889.164641,463669255.034737
20,116547174.58281,264891913.125112
25,40082425.3173416,125310195.029431
30,95000532.1210489,140761289.058327
35,NaN,190140619.7495
40,69713418.4541036,NaN
45,55348203.4792225,96355977.7402444
50,NaN,182093172.133662
55,61880431.400594,NaN
60,NaN,141413364.630402
70,NaN,335531954.041451
