timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00844210203835153,0.0106728047758106,0.000884783081162227
150,0.0176261680518229,NaN,NaN
300,0.0284358398977227,NaN,NaN
400,NaN,0.451092969861205,NaN
450,0.0505277055562031,NaN,0.00255085281506243
650,0.0993565604242245,NaN,NaN
800,0.17056142600266,2.27990402455313,NaN
900,NaN,NaN,0.0757763661886178
1000,0.323355638691658,5.18609896731022,NaN
1500,0.604146813987815,8.15520731078473,0.44604051702628
2000,0.554591866492553,7.89663472149358,0.4206744259001
2500,0.59347290611143,6.67204416070819,0.440586963829233
3000,NaN,NaN,0.497691640985602
3500,NaN,4.54089845965515,NaN
4000,NaN,4.43839513811954,0.227406790710301
4500,NaN,NaN,0.232871159116312
5000,NaN,4.28454702886879,NaN
5500,NaN,NaN,0.142496994106688
6000,NaN,3.7114452126214,NaN
7000,NaN,2.26082244039691,0.0994887399117642
8000,NaN,NaN,0.092251032680107
8500,NaN,1.40954841764451,NaN
