timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00920274046663565,0.000735339220953154,0.00105149123842489
200,0.0119827809699218,NaN,NaN
400,0.024793815039704,NaN,NaN
450,NaN,0.0383942808226377,0.00172903848855539
600,0.0388730751679158,NaN,NaN
800,0.0799110292092839,NaN,NaN
900,NaN,0.165636659110512,NaN
950,NaN,NaN,0.0163107666566828
1000,0.178579779334089,NaN,NaN
1500,0.435155117308987,1.24481415046828,0.341527696774144
2000,0.971207284724017,1.35173466164637,1.18975244140037
2500,0.717376020197329,1.23594916494283,1.54380697794504
3000,0.761024434796092,1.10243926389376,NaN
3500,0.754717452492755,NaN,1.23489272155358
4000,1.04165913903491,0.749127306792809,1.08302122286729
4500,NaN,0.809925642249322,NaN
5000,NaN,NaN,0.436143290761591
6000,NaN,0.495043898319488,0.269012399251542
7000,NaN,0.310476685262344,0.170872758025051
8500,NaN,0.209350766479253,0.0793746303289205
