timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00760966796690969,0.000871206448430442,0.0011982557091315
200,0.0161267157479647,NaN,NaN
400,0.0399246892589486,0.0432313877003383,0.00180605008883467
600,0.0538626922976614,NaN,NaN
800,0.106624591786616,NaN,NaN
850,NaN,0.231318630111696,0.0136572206231796
1000,0.19883676586488,NaN,NaN
1500,0.681523643446891,0.804817642264643,0.38913398894156
2000,0.954439633452267,1.2310344657246,0.919963101129036
2500,0.817375180264533,NaN,1.58404873297709
3000,1.4503807075333,0.921734168743503,1.44274603481712
3500,0.954480880358329,0.974594617511748,1.02011949277037
4000,NaN,0.716667747627656,NaN
4500,NaN,NaN,0.755883548881248
5000,NaN,0.623612979015483,NaN
5500,NaN,NaN,0.464019754623397
6000,NaN,0.415342124106418,NaN
6500,NaN,NaN,0.209759321986129
7000,NaN,0.255901298303376,NaN
8000,NaN,NaN,0.085622355185963
8500,NaN,0.251612935029717,NaN
