timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0101739707882664,0.00090097896053294,0.00122454956358898
400,0.011229196898554,0.0164395345959668,0.00117826830708264
800,0.0240183643310074,NaN,0.00271500217564533
850,NaN,0.0714413293255817,NaN
1000,NaN,NaN,0.00413806251356098
1500,0.0931210681391894,0.229771485342048,0.0215601141690226
2000,NaN,0.373646187869839,0.116729144849581
2500,0.247532133275392,0.786291316704842,0.281969194384236
3000,0.340917955034872,0.899464310105513,0.440797950960566
3500,0.334221581586061,0.725569932757192,NaN
4000,NaN,NaN,0.710774293844436
4500,0.712608141872271,0.883948403558517,0.712788259584085
5500,0.470888855681433,0.808625652244956,0.672496909505305
6000,NaN,NaN,0.709062486245032
6500,0.476228376372527,NaN,NaN
7000,NaN,0.527242639996011,NaN
7500,NaN,NaN,0.442708750311983
8500,NaN,0.611909386847259,0.367206481241969
