timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00904282914619604,0.00124518190144997,0.000825978019224662
400,0.0129394504349443,NaN,NaN
450,NaN,0.0299905480608018,0.00150159764582262
800,0.023499589577444,NaN,NaN
900,NaN,0.0857006683171915,0.00312154920804798
1000,0.0270851351231,NaN,NaN
1500,0.0491788952618192,0.197015708234489,0.024490019146895
2000,0.0715139112178861,0.314337211864257,0.0657838457878765
2500,0.142876102161134,0.439649244519995,0.134713318872743
3000,NaN,0.575659820579863,0.297421539609739
3500,0.523166973390899,NaN,NaN
4000,0.684270381345131,0.961753372854356,0.999211586625002
4500,NaN,1.18753324318557,NaN
5000,1.08523319437992,NaN,1.07863389323192
6000,1.20439342233462,1.01172076381716,0.790573163129744
7000,NaN,0.631189528676252,0.629559175933586
7500,1.98584108969866,NaN,NaN
8500,NaN,0.41037366086682,0.233277245998412
