timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00972038525082395,0.0149741246855197,1.03544896968138e-05
300,NaN,9.67507956238014,NaN
400,0.0157303577074452,NaN,NaN
450,NaN,NaN,0.00353262449459706
650,NaN,10.7611983472655,NaN
800,0.0388822777471038,NaN,NaN
900,NaN,NaN,0.00234156676065936
1000,0.0644806473443126,11.8941832238364,NaN
1500,0.14917003528519,9.8376518813159,0.00252039605488411
2000,0.185739688520143,8.99547458068505,0.00295640486580292
2500,NaN,9.35729170597241,0.00214192376004519
3000,0.525174314450583,10.4916569950578,0.00250181204601621
3500,0.416590417297055,7.57679729015315,0.00196445944872171
4500,0.461535356783425,7.89263086789727,0.00255216858564861
5000,NaN,7.33358796695278,NaN
5500,0.501835624717415,NaN,0.00180942550817706
6000,NaN,6.82804344065349,NaN
6500,0.467662036824514,NaN,0.00145585059410822
7000,NaN,7.43865410918568,NaN
8000,NaN,NaN,0.00124148463784936
8500,NaN,5.25504919257757,NaN
