timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00816691161406434,0.0129015550618111,1.18741005657281e-05
100,0.00896791860636432,NaN,NaN
250,0.0347551439177573,NaN,NaN
300,NaN,10.5081881229046,NaN
350,0.0627360456590267,NaN,NaN
450,NaN,NaN,0.00326963156761642
500,0.115227762531154,NaN,NaN
550,NaN,11.2335925785233,NaN
650,0.257365564302683,NaN,NaN
800,0.36067326877413,NaN,NaN
850,NaN,7.33167611777582,NaN
950,NaN,NaN,0.00404606012893114
1000,0.728967538530597,9.062249063388,NaN
1500,0.664887903621867,10.0769240856066,0.0025264674368385
2000,0.412383661296504,10.0460064516653,0.00220783132458361
2500,NaN,9.93451374461064,0.0027852633917027
3000,NaN,8.82865212467069,0.00232079517469105
4000,NaN,8.97360715613896,0.00240207849678998
4500,NaN,11.634768892772,NaN
5000,NaN,5.7831916451081,0.00168739904416921
6000,NaN,6.54928387295505,0.00148747767141624
7000,NaN,NaN,0.00121375247258963
7500,NaN,7.09401918302347,NaN
8500,NaN,NaN,0.00150304675487393
