timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00827699397969929,0.01210413293702,1.2533484423611e-05
100,0.0200185905019891,NaN,NaN
250,0.0482648806258562,NaN,NaN
350,0.0602090899348406,13.1693814906088,NaN
450,NaN,NaN,0.00261159124279925
500,0.164699366838925,NaN,NaN
650,0.354257697973179,NaN,NaN
700,NaN,11.0488411357583,NaN
800,0.52724130305212,NaN,NaN
950,NaN,NaN,0.00278916919285984
1000,0.454883479018213,9.25431064279865,NaN
1500,0.891873484431071,8.2971543449756,0.00212434204021157
2000,0.574799540403081,7.49676219529739,0.00262580198380202
2500,NaN,8.04783929816431,0.00229844701538643
3000,NaN,10.6587147118396,0.00264666602838343
3500,NaN,7.65415633015288,NaN
4000,NaN,NaN,0.00191903620948161
4500,NaN,7.81410248758964,NaN
5000,NaN,7.0652108395115,0.00127588516632907
6000,NaN,6.88556537263937,0.00129129753907804
7000,NaN,NaN,0.0013283832484092
7500,NaN,5.61348043067967,NaN
8500,NaN,5.69548139915495,0.00101385544520265
