timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00760338598850833,0.00835969206326839,1.18800285315445e-05
85,0.0152883215325192,NaN,NaN
150,0.017147914739642,NaN,NaN
250,0.0428396144741518,NaN,NaN
350,0.0704998528550209,9.33025648391243,NaN
400,NaN,NaN,0.00382030414588921
450,0.167587882966437,NaN,NaN
600,0.366612407068581,NaN,NaN
700,0.404406446465494,NaN,NaN
750,NaN,11.5649100572884,NaN
850,0.276444862098896,NaN,0.00365590183842285
1000,0.468606671043847,8.98390505874425,NaN
1500,0.403910964004318,8.37478528579417,0.00261157385820025
2000,0.422960389130455,9.20687438566262,0.00182273689371802
2500,NaN,6.35902790401653,NaN
3000,NaN,6.75747260647893,0.00342586192823799
3500,NaN,7.79009330317487,0.00194043106336787
4000,NaN,NaN,0.00189245210899359
4500,NaN,7.69858312950062,NaN
5000,NaN,5.83052994256228,0.00175140864415762
6000,NaN,6.25607248580882,0.00256252966103516
7000,NaN,NaN,0.00140289499146055
7500,NaN,6.65419960583897,NaN
8500,NaN,5.40584934006571,0.000938747332605754
