timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00748474278327258,0.0095800916474882,0.000906742006498331
400,0.0183124160073916,0.361885129951729,NaN
500,NaN,NaN,0.00192892579669424
800,0.0305909152586049,0.78733687316649,NaN
1000,0.0604491863173576,1.52697200607629,0.0165158524207834
1500,0.111205306801646,3.32047098840546,0.0818582217683157
2000,NaN,5.36276072264601,0.281072769469821
2500,0.548301683858268,7.98326375251123,NaN
3000,0.71051026947293,NaN,0.674860635808447
3500,0.459364736415689,5.48080578613329,0.367839721590603
4000,NaN,4.15875596249184,NaN
4500,0.467307054324581,NaN,0.335198865105819
5000,NaN,4.62544172317229,NaN
5500,0.490459033108886,NaN,0.145273907336268
6000,NaN,3.26668924426992,NaN
7000,0.526059616014152,3.47479469541777,0.086389952641929
8500,0.478609907852803,2.5921577007094,0.0700611402110174
