timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0092236605402456,0.00101182319569825,0.00083749872822371
300,NaN,NaN,0.00118939785212593
350,0.0141741068669361,NaN,NaN
400,NaN,0.0368139967734458,NaN
600,NaN,NaN,0.00163433478288671
700,0.0636056984156659,NaN,NaN
800,NaN,0.163854683097182,NaN
950,NaN,NaN,0.014077378413479
1000,0.128358700166403,0.26978616903087,NaN
1500,0.457898710510739,0.873225007577848,0.236240109368147
2000,1.03556312060186,1.4509274065209,1.23694513673877
2500,1.28563830269752,1.19011310410325,1.40390343760513
3000,1.15981070571213,NaN,NaN
3500,1.74457682844333,0.872718517267042,1.02718391361603
4000,1.33976814262377,0.906898961469085,1.14923384241678
5000,1.06985853956389,0.3848066229473,0.451401762017168
6000,1.33379068712927,0.435778146081204,0.220456539040907
7000,1.38442128876235,0.169477582991342,NaN
8500,1.36674153032305,0.102947135867253,NaN
