timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00649388240783532,0.00125403504280417,0.0006982010692914
300,0.0118161473548471,NaN,NaN
350,NaN,NaN,0.00130857848747289
400,NaN,0.0221322378476201,NaN
600,0.0201797150297244,NaN,NaN
700,NaN,NaN,0.00153325233574408
850,NaN,0.0969356592871147,NaN
900,0.027651679467671,NaN,NaN
1000,NaN,NaN,0.00369436760110972
1500,0.0532444886893433,0.190894507142911,0.0252825180160818
2000,0.135159117639037,NaN,0.0771644550162229
2500,0.219995273045407,0.624261224940171,0.22316746948406
3000,0.342343894361436,0.675965505647872,0.553308170401192
3500,NaN,1.05562240512887,0.768685900877628
4000,1.07606152944139,1.45904708145432,NaN
4500,1.4937867494153,NaN,1.79560943611245
5000,NaN,1.47500185674136,NaN
5500,2.2234264856267,NaN,0.984107379466099
6000,NaN,0.816431188902013,NaN
6500,NaN,NaN,0.497972029980701
7000,NaN,0.482487150507922,NaN
8500,NaN,0.234800649785207,NaN
