timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00843495078510445,0.00952185001317554,9.17016825080842e-06
350,NaN,11.1324366059971,NaN
400,0.019562499307193,NaN,NaN
450,NaN,NaN,0.0034595228683126
650,NaN,6.90087741406897,NaN
800,0.0550909061345078,NaN,NaN
900,NaN,NaN,0.00331097728956706
1000,0.0797821891798086,9.25049788007792,NaN
1500,0.266798006117033,10.3876692228269,0.0021493531381023
2000,0.477078574601913,9.30846468922405,0.00260015916114509
2500,NaN,9.05315404306967,0.00244225921905009
3000,1.01375722729292,10.8538788290532,0.00283926083130436
3500,0.909006186854064,NaN,0.00222117570147288
4000,NaN,7.59900373204205,NaN
4500,0.948747060091871,13.334133821198,0.0023211450823538
5000,NaN,NaN,0.00199842627941479
5500,0.878420338940024,8.48788486029421,NaN
6000,NaN,NaN,0.00161696954483684
6500,NaN,7.71928432189089,NaN
7000,1.09514914034152,NaN,NaN
7500,NaN,NaN,0.00202373346150903
8000,NaN,6.39871818228596,NaN
8500,1.19006947663291,NaN,0.00143740723009217
