timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00745514805785447,0.00719644049931477,0.00117644904243964
350,NaN,0.2405346745918,NaN
400,0.015870080069632,NaN,NaN
450,NaN,NaN,0.00179523210105354
650,NaN,0.723744335764041,NaN
750,0.0260666001158361,NaN,NaN
950,NaN,NaN,0.00936085775347226
1000,0.0391720320527942,1.61549023998865,NaN
1500,0.131533634711552,3.78403707217715,0.0808246400154049
2000,0.307937161849513,5.87427498135248,0.292483989069106
2500,0.341794013818484,8.78317831297093,0.459767877148513
3000,0.369101029263227,8.15748476328949,NaN
3500,NaN,7.36508720872363,0.497231709792886
4000,0.478651955280396,7.22767323127775,0.228496316379575
5000,0.573753153885605,3.74862710333251,0.300395344644413
6000,0.786985405741715,3.38503062466365,NaN
6500,NaN,NaN,0.161840016598738
7000,0.674228782941231,2.71219562566155,NaN
8000,NaN,NaN,0.085155084985671
8500,0.608867014076559,NaN,NaN
