timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0112838494262836,0.010860245414402,0.00111225585422933
200,0.0240544127044847,NaN,NaN
400,0.0411932597288207,0.678616849972066,NaN
450,NaN,NaN,0.00269027911527528
600,0.0954710838434652,NaN,NaN
800,0.13508536482227,2.52864943603838,NaN
950,NaN,NaN,0.074755732531801
1000,0.27431353313507,4.14564963872137,NaN
1500,0.763993060835243,9.46681366759028,0.558145614410917
2000,0.828296569626887,7.392284510704,0.612431196650246
2500,0.869596780164533,7.52963800733558,0.367204315740398
3000,0.930177119406641,NaN,NaN
3500,0.859351749770579,3.44150630917029,0.302003128404412
4000,0.800490959947312,4.73552863821443,0.308254414440741
5000,NaN,3.53918223942485,0.152582880663878
6000,NaN,3.43817943621975,NaN
6500,NaN,NaN,0.112175920591383
7000,NaN,2.80084440976228,NaN
8000,NaN,NaN,0.0716224137562971
8500,NaN,2.49480426435938,NaN
