timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00794175581433494,0.0101089573620498,8.54819509461458e-06
350,0.0142051249325348,7.88433099840612,NaN
450,NaN,NaN,0.00294363741452161
650,NaN,7.68217232421367,NaN
700,0.0268709872283408,NaN,NaN
950,NaN,NaN,0.00339436279876449
1000,0.0643240573179823,8.90662926097821,NaN
1500,0.236863047524932,10.9845510230941,0.0029184067648488
2000,0.567293281710293,7.42626415898242,0.00257369138427589
2500,0.876708117193395,9.71115693685,0.00282238151156766
3000,1.1545200524294,NaN,0.00220051936134612
3500,1.58550013483023,10.5149128515194,NaN
4000,NaN,6.71235331393894,0.00167067242521279
4500,2.07675797561256,5.09699664349956,NaN
5000,1.20452827323705,NaN,0.00155441573466306
5500,NaN,6.35407413548009,NaN
6000,1.51596547248895,NaN,0.00167478688682628
6500,NaN,7.4862943225407,NaN
7000,1.15840777080647,NaN,0.0013378746944794
8000,NaN,6.52676532439705,NaN
8500,1.10893778031345,NaN,0.00111506532970685
