timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00654826071982388,0.00999100899640452,0.0011696988379916
150,0.0169896140200231,NaN,NaN
250,0.0247253451242255,NaN,NaN
400,0.0486858804656049,0.688053344586505,0.00229921991959905
550,0.0923869654663215,NaN,NaN
700,0.15793989743322,NaN,NaN
800,NaN,3.13136766718554,NaN
850,0.217066315530091,NaN,0.0600682425981629
1000,0.31028531035391,4.80844444790294,NaN
1500,0.26890803344249,5.96815315924367,0.580245327196536
2000,0.370872553849292,6.81795136659033,0.6603772261179
2500,NaN,5.65936644041884,0.550042315657811
3000,NaN,NaN,0.374703545083527
3500,NaN,6.75154278857472,0.278643066602993
4000,NaN,5.1487112915346,NaN
4500,NaN,NaN,0.198120523754982
5000,NaN,3.87745076287259,NaN
5500,NaN,NaN,0.141228000456937
6000,NaN,3.62411472130728,NaN
6500,NaN,NaN,0.0862188723800084
7000,NaN,3.19346788594491,NaN
8000,NaN,NaN,0.0636701954631919
8500,NaN,1.8581582534141,NaN
