timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00896993359070945,0.0117821331936308,0.00097670051126784
150,0.0130845733123622,NaN,NaN
350,0.0279004105812221,NaN,NaN
400,NaN,0.413038204033316,NaN
450,NaN,NaN,0.00267589879505507
550,0.0576305077464907,NaN,NaN
750,0.151013210859414,NaN,NaN
850,NaN,3.00480738934176,NaN
900,NaN,NaN,0.0591741777686973
950,0.234158016383316,NaN,NaN
1000,0.285862713142922,NaN,NaN
1500,0.416323207098836,6.64689691401351,0.435152988240565
2000,0.5460477115208,6.57905459890253,0.535723675888609
2500,0.443365604944771,6.27965982705761,0.70367901982169
3000,0.46811129095446,4.83838957644782,0.438149874037668
3500,NaN,4.19649522734891,NaN
4000,NaN,NaN,0.255636281195993
4500,NaN,3.96483508797286,NaN
5000,NaN,NaN,0.151826918398307
5500,NaN,2.89605566746135,NaN
6500,NaN,NaN,0.115531379676398
7000,NaN,3.07511448692994,NaN
7500,NaN,NaN,0.0711975864568295
8500,NaN,2.31675445101754,NaN
